Site ID;Sample ID;Startdate;Enddate;Start;End;Trapping Days;Latitude;Longitude;County;Barcodes;Entire sample sequenced;Time period;Horticultural region;Avg. annual temperature;Avg. annual precipitation
40;M40013;10/06/2018;25/06/2018;10/06/2018;25/06/2018;15;55.52346;12.910872;Skåne;166;N;Midsummer;I (red);08-oct;500-600
40;M40014;14/05/2018;28/05/2018;14/05/2018;28/05/2018;14;55.52346;12.910872;Skåne;218;N;Late Spring;I (red);08-oct;500-600
40;M40017;19/07/2018;07/08/2018;19/07/2018;07/08/2018;19;55.52346;12.910872;Skåne;155;N;Late Summer;I (red);08-oct;500-600
40;M40023;12/10/2018;10/11/2018;12/10/2018;10/11/2018;29;55.52346;12.910872;Skåne;5;Y;Offseason;I (red);08-oct;500-600
41;M41006;14/05/2018;22/05/2018;14/05/2018;22/05/2018;8;57.689073;11.956801;Västergötland;443;Y;Late Spring;II (orange);08-oct;900-1000
41;M41011;19/06/2018;26/06/2018;19/06/2018;26/06/2018;7;57.689073;11.956801;Västergötland;156;N;Midsummer;II (orange);08-oct;900-1000
41;M41016;26/07/2018;02/08/2018;26/07/2018;02/08/2018;7;57.689073;11.956801;Västergötland;180;N;Late Summer;II (orange);08-oct;900-1000
41;M41022;12/10/2018;05/11/2018;12/10/2018;05/11/2018;24;57.689073;11.956801;Västergötland;171;N;Offseason;II (orange);08-oct;900-1000
42;M42003;12/10/2018;10/11/2018;12/10/2018;10/11/2018;29;55.523822;12.911576;Skåne;15;Y;Offseason;I (red);08-oct;500-600
42;M42004;19/07/2018;07/08/2018;19/07/2018;07/08/2018;19;55.523821;12.911575;Skåne;170;N;Late Summer;I (red);08-oct;500-600
42;M42025;14/05/2018;28/05/2018;14/05/2018;28/05/2018;14;55.523821;12.911575;Skåne;636;N;Late Spring;I (red);08-oct;500-600
42;M42030;10/06/2018;25/06/2018;10/06/2018;25/06/2018;15;55.523821;12.911575;Skåne;174;N;Midsummer;I (red);08-oct;500-600
43;M43001;05/06/2018;28/06/2018;05/06/2018;28/06/2018;23;68.111319;23.331281;Norrbotten;557;N;Midsummer;VIII (light blue);-2;500-600
